СТРАНА;Население;Площадь км2
Россия;143420300;17075200
Канада;32805000;9976140
США;295734100;9629091
Китай;1306313800;9596960
Бразилия;186112800;8511965
Австралия;20090400;7686850
Индия;1080264400;3287590
Аргентина;39537900;2766890
Казахстан;15185000;2717300
Судан;40187500;2505810
Алжир;32531900;2381740
Конго (Дем. Республика);60085800;2345410
Мексика;106202900;1972550
Саудовская Аравия;26417600;1960582
Индонезия;241973900;1919440
Ливия;5765600;1759540
Иран;68017900;1648000
Монголия;2791300;1565000
Перу;27925600;1285220
Чад;9826400;1284000
Нигер;11665900;1267000
Ангола;11190800;1246700
Мали;12291500;1240000
ЮАР  ;44344100;1219912
Колумбия;42954300;1138910
Эфиопия;73053300;1127127
Боливия  ;8857900;1098580
Мавритания;3086900;1030700
Египет;77505800;1001450
Танзания  ;36766400;945087
Нигерия;128772000;923768
Венесуэла;25375300;91205
Намибия;2030700;825418
Пакистан;162419900;80394
Мозамбик;19406700;80159
Турция;69660600;78058
Чили  ;15980900;75695
Замбия;11261800;752614
Мьянма;42909500;6785
Афганистан;29929000;6475
Сомали;8591600;637657
ЦАР;3799900;622984
Украина;47425300;6037
Ботсвана;1640100;60037
Мадагаскар;18040300;58704
Кения;33829600;58265
Франция;60656200;54703
Йемен;20727100;52797
Таиланд;65444400;514
Испания;40341500;504782
Туркменистан;4952100;4881
Камерун;16380000;47544
Папуа-Новая Гвинея;5545300;46284
Швеция;9001800;449964
Узбекистан;26851200;4474
Марокко;32725800;44655
Ирак;26074900;437072
Парагвай;6347900;40675
Зимбабве;12747000;39058
Япония;127417200;377835
Германия;82431400;357021
Конго (Республика);3039100;342
Финляндия;5223400;33703
Малайзия;23953100;32975
Вьетнам;83535600;32956
Норвегия;4593000;32422
Берег Слоновой Кости  ;17298000;32246
Польша;38635100;312685
Италия;58103000;30123
Филиппины;87857500;300
Эквадор;13363600;28356
Буркина-Фасо;13925300;2742
Новая Зеландия;4035500;26868
Габон;1389200;267667
Гвинея;9467900;245857
Великобритания;60441500;24482
Гана;21029900;23946
Румыния;22330000;2375
Лаос;6217100;2368
Уганда;27269500;23604
Гайана;765300;21497
Оман;3001600;21246
Беларусь;10300500;2076
Киргизия;5146300;1985
Сенегал;11126800;19619
Сирия;18448800;18518
Камбоджа;13607100;18104
Уругвай;3415900;1762
Тунис;10075000;16361
Суринам;438100;16327
Бангладеш;144319600;144
Таджикистан;7163500;1431
Непал;27676500;1408
Греция;10668400;13194
Никарагуа;5465100;129494
Эритрея;4561600;12132
Корея (Северная);22912200;12054
Малави;12158900;11848
Бенин  ;7460000;11262
Гондурас;6975200;11209
Либерия;3482200;11137
Болгария ;7450300;11091
Куба;11346700;11086
Гватемала;14655200;10889
Исландия;296700;103
Сербия и Черногория;10829200;10235
Корея (Южная);48422600;9848
Венгрия;10006800;9303
Португалия;10566200;92391
Иордания;5759700;923
Азербайджан;7912000;866
Австрия;8184700;83858
ОАЭ;2563200;8288
Чешская республика;10241100;78866
Панама;3039200;782
Сьерра-Леоне;6017600;7174
Ирландия;4015700;7028
Грузия;4667400;697
Шри Ланка  ;20064800;6561
Литва;3596600;652
Латвия;2290200;64589
Того;5681500;56785
Хорватия;4495900;56542
Босния и Герцеговина;4025500;51129
Коста-Рика;4016200;511
Словакия;5431400;48845
Доминиканская Респ.;8950000;4873
Бутан;2232300;47
Эстония;1332900;45226
Дания;5432300;43094
Нидерланды  ;16407500;41526
Швейцария;7489400;4129
Гвинея-Бисау;1416000;3612
Молдова;4455400;33843
Бельгия;10364400;3051
Лесото;1867000;30355
Армения;2982900;298
Албания;3563100;28748
Соломоновы острова;538000;2845
Экваториальная Гвинея;535900;28051
Бурунди;6370600;2783
Гаити;8121600;2775
Руанда;8440800;26338
Македонии;2045300;25333
Джибути;476700;23
Белиз;279500;22966
Сальвадор;6704900;2104
Израиль;6276900;2077
Словения;2011100;20273
Фиджи;893400;1827
Кувейт;2335600;1782
Свазиленд;1173900;17363
Восточный Тимор;1040900;15007
Багамские острова;301800;1394
Вануату;205800;122
Катар;863100;11437
Гамбия;1593300;113
Ямайка;2731800;10991
Ливан;3826000;104
Кипр;780100;925
Бруней;372400;577
Тринидад и Тобаго;1088600;5128
Кабо-Верде;418200;4033
Самоа;177300;2944
Люксембург;468600;2586
Коморские острова;671200;217
Маврикий;1230600;204
Сан-Томе и Принсипи;187400;1001
Кирибати;103100;811
Доминика;69030;754
Тонга;112400;748
Микронезия;108100;702
Сингапур;4425700;693
Бахрейн;688300;665
Сент-Люсия;166300;616
Андорра;70550;468
Палау;20300;458
Сейшельские острова;81190;455
Антигуа и Барбуда;68720;443
Барбадос;279300;431
Сент-Винсент и Грен.;117500;389
Гренада;89500;344
Мальта;398500;316
Мальдивы;349100;300
Сент-Китс и Невис;38960;261
Маршалловы острова;59070;181
Лихтенштейн;33720;160
Сан — Марино;28880;61
Тувалу;11640;26
Науру;13050;21
Монако;32410;2
Ватикан;920;1
