Город;Год2002;Год2021
Москва;10126;12655
Санкт-Петербург;4661;5384
Новосибирск;1426;1620
Екатеринбург;1294;1495
Казань;1105;1257
Нижний Новгород;1311;1244
Челябинск;1077;1188
Самара;1158;1145
Омск;1134;1140
Ростов-на-Дону;1068;1138
Уфа;1042;1126
Красноярск;909;1093
Воронеж;849;1051
Пермь;1002;1049
Волгоград;1011;1005
Краснодар;646;949
Саратов;873;830
Тюмень;511;817
Тольятти;703;693
Ижевск;632;646
Барнаул;601;631
Ульяновск;636;625
Иркутск;594;618
Хабаровск;583;610
Махачкала;462;604
Ярославль;613;601
Владивосток;595;601
Оренбург;549;573
Томск;488;569
Кемерово;485;553
Новокузнецк;550;545
Рязань;522;535
Набережные Челны;510;532
Астрахань;505;524
Киров;458;521
Пенза;518;516
Севастополь;343;510
Балашиха;148;507
Липецк;506;503
Чебоксары;441;496
Калининград;430;493
Тула;481;468
Ставрополь;355;455
Курск;412;451
Улан-Удэ;359;438
Сочи;329;432
Тверь;409;425
Магнитогорск;419;413
Иваново;432;402
Брянск;432;400
Белгород;337;392
Сургут;285;387
Владимир;316;352
Чита;317;351
Архангельск;356;345
Нижний Тагил;390;345
Симферополь;344;336
Калуга;335;332
Якутск;211;331
Грозный;211;325
Волжский;313;324
Смоленск;325;320
Саранск;305;317
Череповец;312;312
Курган;346;309
Подольск;181;309
Вологда;293;309
Орёл;333;304
Владикавказ;316;302
Тамбов;294;290
Мурманск;336;283
Петрозаводск;266;281
Нижневартовск;239;279
Кострома;279;277
Йошкар-Ола;257;276
Новороссийск;232;276
Стерлитамак;264;274
Химки;141;258
Таганрог;282;248
Мытищи;160;246
Сыктывкар;230;244
Комсомольск-на-Амуре;281;241
Нижнекамск;225;240
Нальчик;275;239
Шахты;223;229
Дзержинск;261;227
Энгельс;194;226
Благовещенск;219;226
Королёв;143;225
Братск;251;225
Великий Новгород;217;225
Орск;251;225
Старый Оскол;216;224
Ангарск;247;223
Псков;203;209
Люберцы;157;208
Южно-Сахалинск;175;200
Бийск;219;198
Прокопьевск;225;188
Абакан;165;187
Армавир;194;187
Балаково;200;186
Норильск;135;183
Рыбинск;223;182
Северодвинск;202;181
Петропавловск-Камчатский;198;179
Красногорск;92;176
Уссурийск;158;173
Волгодонск;166;170
Новочеркасск;171;166
Сызрань;188;165
Каменск-Уральский;186;164
Златоуст;195;162
Альметьевск;140;158
Электросталь;146;153
Керчь;157;152
Миасс;158;151
Салават;159;149
Хасавюрт;122;146
Пятигорск;141;146
Копейск;73;146
Находка;149;143
Рубцовск;163;140
Майкоп;157;139
Коломна;150;139
Березники;173;137
Одинцово;135;136
Домодедово;56;135
Ковров;155;134
Нефтекамск;122;132
Каспийск;78;129
Нефтеюганск;108;128
Кисловодск;130;128
Новочебоксарск;126;128
Батайск;107;127
Щёлково;113;127
Дербент;101;127
Серпухов;131;125
Назрань;125;124
Раменское;83;124
Черкесск;116;123
Новомосковск;134;122
Кызыл;104;120
Первоуральск;132;119
Новый Уренгой;94;118
Орехово-Зуево;122;118
Долгопрудный;69;118
Обнинск;106;116
Невинномысск;132;116
Ессентуки;82;115
Октябрьский;109;114
Димитровград;131;112
Пушкино;72;109
Камышин;128;109
Ноябрьск;96;108
Евпатория;106;108
Реутов;77;108
Жуковский;101;108
Северск;109;106
Муром;127;106
Новошахтинск;101;105
Артём;64;105
Ачинск;119;105
Бердск;89;104
Элиста;104;104
Арзамас;109;103
Ханты-Мансийск;54;103
Ногинск;118;103
Елец;113;101
Железногорск;96;101
Зеленодольск;100;100
